'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0195';'Anneli';'Jäätteenmäki';'Euroopan parlamentin jäsen, varatuomari';'Koko maa';'KESK';'28.07.2014';'';'';'59129,02';'39623,98';'60';'';'';'';'2600';'11791,16';'1460,10';'3593,78';'';'';'59129,02';'5013';'';'16475,17';'X';'';'';'X';'';'5000';' ';'';'32640,85';' ';'';'';'X';'';'';''
'0097';'Pirkko';'Ruohonen-Lerner';'kansanedustaja, varanotaari';'Koko maa';'PS';'21.06.2014';'25.06.2014';'';'20534,83';'20027,58';'';'';'';'';'';'50,00';'279,00';'';'';'178,25';'20534,83';'10534,83';'';'';' ';'';'';' ';'';'10000';' ';'Perussuomalaiset rp 10 000 euroa';'';' ';'';'';' ';'';'';'Lisäksi Perussuomalaiset rp. mainosti kaikkia ehdokkaita eri medioissa, samoin jotkut piiri- ja paikallisyhdistykset ilmoittivat vaalitilaisuuksista, joihin osallistuin. Myös HS mainosti kaikkien puolueiden ehdokkaiden yhteistä vaalitilaisuutta Sanoma-talolla. Perussuomalaiset naiset toimittivat minulle tiskirättejä jaettavaksi ja PS puolue mm. hammastikkuja, tulitikkuja, kyniä, lehtiä, vaaliohjelmaa ja peilejä jaettavaksi. '
'0230';'Henna';'Virkkunen';'liikenne- ja kuntaministeri, filosofian lisensiaatti';'Koko maa';'KOK';'26.07.2014';'26.07.2014';'Väli-Suomen Voima ry.';'91857,82';'23992,20';'';'20843,53';'5090';'';'14601,26';'4507,37';'8218,44';'9882,22';'';'4722,80';'91857,82';'45417,27';'';'17399';'X';'Yksityishenkilöiden tuki koostuu 26 eri lahjoituksesta,';'23150';'X';'Yritysten tuessa on mukana talousseminaarien lipputuloja 10 550 euroa ja suoria lahjoituksia 12 600 euroa,';'';'X';'';'5891,55';' ';'';'';' ';'';'';'Tässä ilmoitetun lisäksi kokoomuksen eri piiri- ja paikallisyhdistykset ovat kampanjan aikana mainostaneet kokoomusehdokkaiden eurovaalitilaisuuksia. '
'0207';'Olli';'Rehn';'komission varapuheenjohtaja, filosofian tohtori';'Koko maa';'KESK';'23.07.2014';'24.07.2014';'Suomen Parhaaksi ry.';'145472';'62023';'';'';'2504';'';'';'17079';'13707';'12388';'16500';'21271';'145472';'35001';'';'29861';'X';'';'48250';' ';'Saga Furs Oy Seminaariliput 2 x 1450 euroa,';'5000';' ';'';'';' ';'';'27350';' ';'Akava ry seminaariliput 1 x 1450 euroa ja 1 x 450 euroa,';'';''
'0239';'Miapetra';'Kumpula-Natri';'kansanedustaja, insinööri';'Koko maa';'SDP';'25.07.2014';'';'Euroopassa Suomen Tähden ry.';'87367,91';'19899,52';'0';'12712,48';'1624,00';'0';'31872,00';'11590,98';'4612,77';'374,55';'1322,50';'3359,11';'87367,91';'11724,88';'0';'5037,00';'X';'';'10550,00';'X';'';'4000,00';' ';'';'2500,00';'X';'';'53556,03';' ';'';'0';''
'0225';'Petri';'Sarvamaa';'Euroopan parlamentin jäsen';'Koko maa';'KOK';'25.07.2014';'';'';'46217,49';'6991,38';'';'';'4880,00';'';'6156,12';'1500,00';'14000,00';'1389,99';'';'11300,00';'46217,49';'12680,49';'';'17007,00';' ';'';'10320,00';'X';'';'';' ';'';'';' ';'';'6210,00';'X';'';'';''
'0210';'Paavo';'Väyrynen';'valtiotieteen tohtori, yrittäjä';'Koko maa';'KESK';'25.07.2014';'';'';'92653';'71699';'';'14534';'2900';'';'1310';'';'';'2125';'';'85';'92653';'29111';'';'';'X';'';'';'X';'';'5000';' ';'Suomen Keskusta rp 5000,00 euroa,';'';' ';'';'58542';'X';'Rahoitukseen siältyy omien varojen lisäksi vain tuottoja mukien ja kirjojen myynnistä, Tuotot ilmoitettu nettomääräisinä,';'';''
'0169';'Oras';'Tynkkynen';'kansanedustaja, yhteiskuntatieteiden maisteri';'Koko maa';'VIHR';'24.07.2014';'28.07.2014';'';'46406,04';'15967,09';'0';'0';'4494,13';'0';'11539,73';'3673,48';'2844,56';'1139,59';'947,10';'5800,36';'46406,04';'20030,46';'';'20668,40';' ';'Täydellisempi lahjoitustilasto on nähtävissä osoitteessa https://lahjoita,vihreat,fi/tilastot/kohde/220/558, Vihreiden sivuilta löytyvästä listasta puuttuvat Olli-Poika Parviaisen 500 euron sekä Riitta Lätin 1 000 tekemät erilliset lahjoitukset suoraan kampanjatilille,';'0';'X';'';'3500';' ';'';'2207,18';'X';'';'0';'X';'';'0';'"Muut kulut" sisältävät kampanjapäällikön palkkakuluja 3400 € (ehdokkaan omista varoistaan palkkaaman maakunta-avustajan kampanjaan kulutetun työajan osuus), valokuvauksiin liittyviä kuluja 767,63 € sekä vaalipäällikön matkakuluja, tukiryhmän kokoustarjoiluja ynnä vastaavia 123,98 €.<br />'
'0084';'Jussi';'Halla-aho';'kansanedustaja, filosofian tohtori';'Koko maa';'PS';'25.07.2014';'';'';'4055,61';'1176,75';'';'';'';'';'';'2058,40';'';'';'';'820,46';'4055,61';'';'';'';' ';'';'';' ';'';'4055,61';' ';'';'';' ';'';'';' ';'';'';''
'0098';'Sampo';'Terho';'Euroopan parlamentin jäsen, tutkija';'Koko maa';'PS';'06.07.2014';'';'Sampo Terhon vaalitukiryhmä, rekisteröimätön yhdistys';'30097,54';'2473,02';'';'';'5239,9';'';'';'7283,27';'11974,4';'276,5';'';'2850,45';'30097,54';'18767,54';'';'1330';'X';'';'';' ';'';'10000';' ';'';'';' ';'';'';' ';'';'';''
