'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'SDP';'';'';'';'';'2.5';'';'';'4000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP'	 
'Metalliln sos.dem. opintoyhdistys';'';'';'';'';'2.7';'';'';'10000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Palkansaajien opintojärjestö';'';'';'';'';'2.7';'';'';'3000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'PAM';'';'';'';'';'2.7';'';'';'8000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Pro';'';'';'';'';'2.7';'';'';'10000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Raideammattilaiset';'';'';'';'';'2.7';'';'';'3000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'TEAM';'';'';'';'';'2.7';'';'';'3000';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Suomen Keskusta rp';'';'';'';'';'2.5';'';'';'5000';'Paavo';'Väyrynen';'Koko maa';'KESK'	 
'';'';'Riitta';'Lätti';'Jyväskylä';'2.3';'';'';'1500';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'';'';'Olli-Poika';'Parviainen';'Tampere';'2.3';'';'';'1500';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'Vihreä liitto r.p.';'0771677-3';'';'';'';'2.5';'';'';'3500';'Oras';'Tynkkynen';'Koko maa';'VIHR'	 
'';'';'Leena-Maija';'Rantanen';'Helsinki';'2.3';'';'';'1500';'Heidi';'Hautala';'Koko maa';'VIHR' 
'Vihreät rp.';'';'';'';'';'2.5';'';'';'3500';'Heidi';'Hautala';'Koko maa';'VIHR'	 
'SDP';'';'';'';'';'2.5';'';'';'4000';'Timo';'Harakka';'Koko maa';'SDP'	 
'Jyväskylän Työväenyhdistys ry.';'1.958';'';'';'';'2.6';'';'';'20000';'Timo';'Harakka';'Koko maa';'SDP' 
'Ammattiliitto Pro ry.';'90.631';'';'';'';'2.7';'';'';'2000';'Timo';'Harakka';'Koko maa';'SDP' 
'SAK;n Jyväskylän ammatillinen paikallisjärjestö ry.';'136.691';'';'';'';'2.7';'';'';'9500';'Timo';'Harakka';'Koko maa';'SDP' 
'Valmetin metallityöväen ammattiosasto 74 ry.';'';'';'';'';'2.7';'';'';'2000';'Timo';'Harakka';'Koko maa';'SDP' 
'Varsinais-Suomen vasemmistoliitto';'';'';'';'';'2.6';'';'';'5000';'Li';'Andersson';'Koko maa';'VAS' 
'Vänsterförbundets svenska landsstyrelse';'';'';'';'';'2.6';'';'';'3000';'Li';'Andersson';'Koko maa';'VAS' 
'Vasemmistonuoret ry';'';'';'';'';'2.7';'';'';'3000';'Li';'Andersson';'Koko maa';'VAS' 
'Ossi Ahokkaan säätiö';'';'';'';'';'2.7';'';'';'1500';'Li';'Andersson';'Koko maa';'VAS' 
'';'';'';'';'';'2.2';'Vaalilaina';'1100 €/kk/5 vuotta';'60000';'Hannu';'Takkula';'Koko maa';'KESK' 
'Suomen Keskusta rp';'0201471-3';'';'';'';'2.5';'';'';'5000';'Hannu';'Takkula';'Koko maa';'KESK' 
